id_municipio,cbo_2002,descricao_cargo,vinc_2020,vinc_2021,vinc_2022,sal_2020,sal_2021,sal_2022,eleg_2020,eleg_2021,eleg_2022,delta_vinc_pct,delta_eleg_pct
3538709,354130,Promotor De Vendas Especializado,333,270,278,5228.51,5756.65,8193.32,0,1,45,-16.5,
3538709,214420,Engenheiro Mecânico Industrial,155,106,121,7274.99,9487.31,14312.75,9,35,45,-21.9,400.0
3538709,641005,Operador De Colheitadeira,145,212,142,3292.22,3503.33,8438.98,0,0,44,-2.1,
3538709,142315,Gerente De Marketing,200,207,197,6136.09,7880.97,8395.04,23,47,43,-1.5,87.0
3538709,123105,Diretor Administrativo,104,101,96,14142.69,16946.66,71625.7,46,46,41,-7.7,-10.9
3538709,710205,Mestre (Construção Civil),385,504,584,3655.81,4117.49,5848.22,0,3,37,51.7,
3538709,354210,Supervisor De Compras,127,122,135,7965.71,8674.9,9018.04,9,6,37,6.3,311.1
3538709,225142,Médico Da Estratégia De Saúde Da Família,47,42,37,16873.15,17456.18,18169.43,47,42,36,-21.3,-23.4
3538709,142405,Gerente De Compras,169,197,151,8321.34,9555.29,9507.4,26,44,35,-10.7,34.6
3538709,142335,Analista De Pesquisa De Mercado,399,517,696,3666.43,3970.63,4131.27,24,24,33,74.4,37.5
3538709,421120,Emissor De Passagens,128,71,40,1483.04,1868.76,17236.9,0,0,33,-68.8,
3538709,223905,Terapeuta Ocupacional,47,62,70,4300.58,3918.15,12127.65,0,0,32,48.9,
3538709,234205,Professor De Física (Ensino Superior),63,63,61,10324.78,10858.73,13591.04,30,33,32,-3.2,6.7
3538709,521110,Vendedor De Comércio Varejista,17158,17557,17776,2206.02,2497.1,2898.78,2,0,31,3.6,1450.0
3538709,910205,Supervisor Da Manutenção E Reparação De Veículos Leves,71,86,112,3267.19,3852.22,8085.23,0,0,30,57.7,
3538709,913115,Mecânico De Manutenção De Máquinas Agrícolas,88,85,95,3587.43,4214.7,9835.85,0,0,24,8.0,
3538709,203210,Pesquisador De Engenharia E Tecnologia (Outras Áreas Da Engenharia),77,93,81,9791.41,8273.13,11147.93,20,21,24,5.2,20.0
3538709,122305,Diretor De Operações De Obras Pública E Civil,6,30,30,2338.03,17785.55,21022.5,0,24,24,400.0,
3538709,710120,Supervisor De Produção Na Mineração,13,13,25,5238.18,5544.28,13571.61,0,0,24,92.3,
3538709,214610,Engenheiro Metalurgista,21,23,28,11488.16,11535.31,14687.54,4,4,20,33.3,400.0
3538709,142410,Gerente De Suprimentos,71,56,68,13102.13,12497.63,12236.8,26,18,19,-4.2,-26.9
3538709,214315,Engenheiro Eletricista De Manutenção,30,30,42,10057.98,10885.64,12018.13,0,0,18,40.0,
3538709,123305,Diretor Comercial,30,29,31,20926.5,25111.37,52827.08,21,22,18,3.3,-14.3
3538709,214405,Engenheiro Mecânico,152,168,219,8082.28,8306.93,8487.01,1,0,17,44.1,1600.0
3538709,142520,Gerente De Projetos De Tecnologia Da Informação,35,57,67,10738.92,10225.08,11490.74,7,16,17,91.4,142.9
3538709,123110,Diretor Administrativo E Financeiro,35,46,33,13364.05,15453.64,185806.21,10,19,17,-5.7,70.0
3538709,342125,Tecnólogo Em Logística De Transporte,583,664,735,2792.06,3107.44,3559.05,0,0,15,26.1,
3538709,354135,Técnico De Vendas,317,432,588,5235.73,5035.29,5106.12,12,19,15,85.5,25.0
