id_municipio,nome_area_geral,nome_area_especifica,nome_area_detalhada,conc_2020,conc_2021,conc_2022,conc_2023,conc_2024,matr_2024,ing_2024,delta_conc_pct
3538709,"Negócios, administração e direito",Negócios e administração,Gestão comercial,32,20,47,71,93,348,265,190.6
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletricidade e energia,31,34,66,41,83,510,226,167.7
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,Tecnologia de proteção ambiental,65,66,52,58,77,361,126,18.5
3538709,Saúde e bem-estar,Saúde,Odontologia,60,16,71,135,71,568,204,18.3
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,Eletrônica e automação,59,59,30,40,66,732,278,11.9
3538709,"Negócios, administração e direito",Negócios e administração,"Finanças, bancos e seguros",16,41,39,43,62,290,227,287.5
3538709,Artes e humanidades,Artes,"Produção audiovisual, de mídia e cultural",91,94,46,64,60,222,163,-34.1
3538709,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Economia,103,66,47,44,54,346,121,-47.6
3538709,"Engenharia, produção e construção",Produção e processamento,Processamento de alimentos,70,63,46,66,42,259,89,-40.0
3538709,Serviços,Serviços de segurança,Proteção de pessoas e de propriedades,18,39,34,38,37,188,161,105.6
3538709,"Agricultura, silvicultura, pesca e veterinária",Veterinária,Veterinária,0,0,0,26,34,434,247,
3538709,"Agricultura, silvicultura, pesca e veterinária",Silvicultura,Silvicultura,20,24,23,36,29,211,37,45.0
3538709,"Engenharia, produção e construção",Arquitetura e construção,Arquitetura e planejamento urbano,0,8,36,14,28,369,211,
3538709,"Ciências naturais, matemática e estatística",Ciências físicas,Química,0,0,3,1,28,129,82,
3538709,Educação,Educação,Formação de professores de letras,82,55,61,45,27,282,197,-67.1
3538709,Saúde e bem-estar,Bem-estar,Serviço social,77,82,28,42,27,250,149,-64.9
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Infraestrutura e gestão de TIC,30,24,6,27,26,204,179,-13.3
3538709,Serviços,Serviços pessoais,Serviços de beleza,10,23,12,16,25,93,74,150.0
3538709,"Ciências naturais, matemática e estatística",Ciências biológicas e correlatas,Biologia,43,45,26,36,19,173,57,-55.8
3538709,Artes e humanidades,Artes,"Moda, design de interiores e desenho industrial",2,2,10,22,18,98,78,800.0
3538709,Serviços,Serviços pessoais,Serviços de alimentação,26,12,2,16,14,43,37,-46.2
3538709,Artes e humanidades,Humanidades (exceto línguas),Religião e teologia,7,11,9,9,11,73,51,57.1
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,0,0,0,0,11,106,75,
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,Engenharia química e de processos,36,20,25,32,10,194,88,-72.2
3538709,Saúde e bem-estar,Saúde,Medicina e terapia tradicional e complementar,0,0,4,5,10,59,49,
3538709,Serviços,Serviços pessoais,Turismo e hotelaria,1,5,3,5,9,39,30,800.0
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),Programas interdisciplinares abrangendo computação e Tecnologias da Informação e Comunicação (TIC),0,0,0,0,9,78,98,
3538709,Saúde e bem-estar,Saúde,Farmácia,42,72,28,2,8,250,183,-81.0
3538709,"Ciências sociais, comunicação e informação",Comunicação e informação,Ciência da informação e museologia,0,0,0,0,8,38,15,
3538709,"Ciências sociais, comunicação e informação",Ciências sociais e comportamentais,Ciências sociais e políticas,27,34,6,1,4,70,53,-85.2
3538709,Educação,Educação,Ciência da educação,0,0,1,1,4,57,53,
3538709,"Ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação","Programas interdisciplinares abrangendo ciências sociais, comunicação e informação",0,0,0,0,4,8,4,
3538709,Saúde e bem-estar,Bem-estar,Assistência a idosos e a deficientes,0,0,1,5,3,18,13,
3538709,"Negócios, administração e direito",Negócios e administração,Secretariado e trabalhos de escritório,1,0,2,2,3,17,16,200.0
3538709,Serviços,Serviços de transporte,Serviços de transporte,0,0,0,2,3,9,5,
3538709,Artes e humanidades,Línguas,Letras,52,48,25,3,2,14,9,-96.2
3538709,"Ciências sociais, comunicação e informação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação","Programas abrangendo ciências sociais, comunicação e informação em processo de definição da classificação",0,0,0,2,2,83,78,
3538709,Artes e humanidades,Humanidades (exceto línguas),História e arqueologia,0,0,0,2,2,15,7,
3538709,"Negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito","Programas interdisciplinares abrangendo negócios, administração e direito",0,1,0,2,2,12,4,
3538709,Serviços,Serviços pessoais,Esportes e lazer,0,0,0,0,2,4,0,
3538709,Artes e humanidades,Artes,Belas artes,0,0,0,0,2,16,16,
3538709,"Ciências sociais, comunicação e informação",Comunicação e informação,Comunicação e reportagem,86,38,7,1,1,39,32,-98.8
3538709,"Ciências naturais, matemática e estatística",Matemática e estatística,Estatística,0,0,0,1,1,4,5,
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Gestão e desenvolvimento de sistemas de informação,112,87,102,130,0,0,0,-100.0
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Ciência da computação,27,36,33,38,0,0,0,-100.0
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Desenvolvimento de sistemas que integram software e hardware,0,0,7,10,0,0,0,
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Soluções computacionais para domínios específicos,0,0,2,9,0,0,0,
3538709,Computação e Tecnologias da Informação e Comunicação (TIC),Computação e Tecnologias da Informação e Comunicação (TIC),Produção de software,0,1,0,5,0,0,0,
3538709,Artes e humanidades,Humanidades (exceto línguas),Filosofia e ética,0,0,2,1,0,4,3,
3538709,"Engenharia, produção e construção",Engenharia e profissões correlatas,"Veículos a motor, construção naval, aeronáutica, ferroviária e metroviária",0,0,2,1,0,4,2,
