co_uf,co_ies,co_curso,grupo_ies,no_curso,curso_agrupado_fgv,escola_fgv,sigla_ies,praca_fgv
35,922,30080,FAAP,Comunicação Social - Rádio E Televisão,COMUNICAÇÃO,,FA-FAAP,SP
35,605,302890,USP,Ciências Sociais,CIÊNCIAS SOCIAIS,,USP,SP
35,242,31055,MACKENZIE,Administração,ADMINISTRAÇÃO,,MACKENZIE,SP
33,5808,310859,PUC-Rio,Ciências Sociais,CIÊNCIAS SOCIAIS,,PUC-RIO,RJ
33,5808,310877,PUC-Rio,Matemática,MATEMÁTICA,,PUC-RIO,RJ
53,4422,31128,UNICEUB,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UNICEUB,DF
33,6017,311305,UERJ,Matemática,MATEMÁTICA,,UERJ,RJ
33,6017,311322,UERJ,Ciências Sociais,CIÊNCIAS SOCIAIS,,UERJ,RJ
33,6292,312686,UFF,Ciências Sociais,CIÊNCIAS SOCIAIS,,UFF,RJ
33,6292,312702,UFF,Matemática,MATEMÁTICA,,UFF,RJ
53,22,31381,UNB,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,UNB,DF
33,6446,314328,UFRJ,Matemática,MATEMÁTICA,,UFRJ,RJ
33,6446,314348,UFRJ,Ciências Sociais,CIÊNCIAS SOCIAIS,,UFRJ,RJ
33,1144,31882,UFF,Comunicação Social,COMUNICAÇÃO,,UFF,RJ
33,5148,31882,UFF,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,UFF,RJ
33,5860,31956,UFRJ,Comunicação Social - Produção Editorial,COMUNICAÇÃO,,UFRJ,RJ
33,5860,31960,UFRJ,Comunicação Social  - Radialismo,COMUNICAÇÃO,,UFRJ,RJ
35,605,321427,USP,Matemática,MATEMÁTICA,,USP,SP
53,22,33204,UNB,Ciências Sociais,CIÊNCIAS SOCIAIS,,UNB,DF
35,44,333294,MACKENZIE,Matemática,MATEMÁTICA,,MACKENZIE,SP
33,2288,33726,UFF,Comunicação Social - Cinema,COMUNICAÇÃO,,UFF,RJ
53,6,34642,UNB,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UNB,DF
53,16,34642,UNB,Jornalismo,COMUNICAÇÃO,,UNB,DF
33,2288,34795,UFF,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UFF,RJ
53,14,34983,UNB,Ciências Sociais,CIÊNCIAS SOCIAIS,,UNB,DF
33,10377,357162,UCAM,Ciências Sociais,CIÊNCIAS SOCIAIS,,UCAM,RJ
35,594,36013,UNICAMP,Ciências Sociais,CIÊNCIAS SOCIAIS,,UNICAMP,SP
35,594,41765,UNICAMP,Matemática,MATEMÁTICA,,UNICAMP,SP
35,242,41876,MACKENZIE,Jornalismo,COMUNICAÇÃO,,MACKENZIE,SP
33,12683,42248,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,12683,42271,UCAM,Direito,DIREITO,,UCAM,RJ
33,14585,46493,IBMEC,Direito,DIREITO,,IBMEC,RJ
33,20361,49313,FGV,Administração,ADMINISTRAÇÃO,EBAPE,FGV,RJ
33,28501,49315,FGV,Ciências Econômicas,ECONOMIA,EPGE,FGV,RJ
35,6996,5000366,ESPM,Jornalismo,COMUNICAÇÃO,,ESPM,SP
33,6292,5000477,UFF,Matemática,MATEMÁTICA,,UFF,RJ
35,385,5000791,USP,Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Finanças,ECONOMIA,,USP,SP
35,385,5000792,USP,Economia Empresarial E Controladoria Com Habilitação Em Economia - Ênfase Em Negócios Internacionais,ECONOMIA,,USP,SP
35,385,5000794,USP,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Finanças,ECONOMIA,,USP,SP
35,330,5000795,USP,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Negócios Internacionais,ECONOMIA,,USP,SP
35,385,5000797,USP,Economia Empresarial E Controladoria Com Habilitação Em Contabilidade - Ênfase Em Políticas Públicas,ECONOMIA,,USP,SP
35,220,5000843,USP,Estatística E Ciência De Dados,CIÊNCIA DE DADOS,,USP,SP
33,12683,5000988,UCAM,Direito,DIREITO,,UCAM,RJ
35,6006,50500,PUC-SP,Comunicação Social - Publicidade E Propaganda,COMUNICAÇÃO,,PUCSP,SP
33,6292,52258,UFF,Direito,DIREITO,,UFF,RJ
33,12683,5316,UCAM,Direito,DIREITO,,UCAM,RJ
33,12683,5317,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,12683,5329,UCAM,Direito,DIREITO,,UCAM,RJ
33,11530,5331,UCAM,Ciências Econômicas,ECONOMIA,,UCAM,RJ
33,12683,5332,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,12683,5337,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,12683,5343,UCAM,Administração,ADMINISTRAÇÃO,,UCAM,RJ
33,2145,5381,MACKENZIE,Administração,ADMINISTRAÇÃO,,MACKENZIE,RJ
33,2145,5382,MACKENZIE,Direito,DIREITO,,MACKENZIE,RJ
33,2145,5383,MACKENZIE,Ciências Econômicas,ECONOMIA,,MACKENZIE,RJ
35,27115,54304,IBMEC,Direito,DIREITO,,IBMEC SP,SP
33,3459,57166,UCAM,Comunicação Social,COMUNICAÇÃO,,UCAM,RJ
33,8071,57180,UCAM,Comunicação Social,COMUNICAÇÃO,,UCAM,RJ
33,8071,57182,UCAM,Comunicação Social,COMUNICAÇÃO,,UCAM,RJ
33,3459,57231,UCAM,Comunicação Social,COMUNICAÇÃO,,UCAM,RJ
35,605,60200,USP,Relações Internacionais,RI,,USP,SP
35,23419,63414,FGV,Ciências Econômicas,ECONOMIA,EESP,EESP,SP
33,23386,65859,FGV,Direito,DIREITO,DIREITO RJ,DIREITO RIO,RJ
33,12683,66447,UCAM,Relações Internacionais,RI,,UCAM,RJ
33,8071,66484,UCAM,Comunicação Social - Jornalismo,COMUNICAÇÃO,,UCAM,RJ
33,1153,66485,UCAM,Comunicação Social,COMUNICAÇÃO,,UCAM,RJ
35,23408,67985,FGV,Direito,DIREITO,DIREITO SP,FGV,SP
