co_uf,co_curso,grupo_ies_abr,co_ies,curso_ies,curso_agrupado_fgv,curso_praca,escola_fgv,no_curso,praca_fgv,sigla_ies,curso_agrupado_key,grupo_ies_key
33,3,UFRJ,586,UFRJ-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_RJ,,Jornalismo,RJ,UFRJ,COMUNICACAO,UFRJ
33,3,UFRJ,586,UFRJ-Relações Internacionais,RI,RI_RJ,,Relações Internacionais,RJ,UFRJ,RI,UFRJ
53,3,UNB,2,UNB-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_DF,,Ciências Sociais,DF,UNB,CIENCIAS SOCIAIS,UNB
53,3,UNB,2,UNB-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Comunicação Social,DF,UNB,COMUNICACAO,UNB
53,3,UNB,2,UNB-Economia,ECONOMIA,ECONOMIA_DF,,Economia,DF,UNB,ECONOMIA,UNB
53,3,UNB,2,UNB-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Jornalismo,DF,UNB,COMUNICACAO,UNB
53,3,UNB,2,UNB-Relações Internacionais,RI,RI_DF,,Relações Internacionais,DF,UNB,RI,UNB
35,3,UNICAMP,54,UNICAMP-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_SP,,Ciências Sociais,SP,UNICAMP,CIENCIAS SOCIAIS,UNICAMP
35,3,UNICAMP,54,UNICAMP-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social,SP,UNICAMP,COMUNICACAO,UNICAMP
35,3,UNICAMP,54,UNICAMP-Economia,ECONOMIA,ECONOMIA_SP,,Economia,SP,UNICAMP,ECONOMIA,UNICAMP
53,3,UNICEUB,402,UNICEUB-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Jornalismo,DF,UNICEUB,COMUNICACAO,UNICEUB
53,3,UNICEUB,402,UNICEUB-Relações Internacionais,RI,RI_DF,,Relações Internacionais,DF,UNICEUB,RI,UNICEUB
35,3,USP,55,USP-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_SP,,Ciências Sociais,SP,USP,CIENCIAS SOCIAIS,USP
35,3,USP,165,USP-Economia,ECONOMIA,ECONOMIA_SP,,Economia,SP,USP,ECONOMIA,USP
35,3,USP,55,USP-Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Jornalismo,SP,USP,COMUNICACAO,USP
35,3,USP,55,USP-Relações Internacionais,RI,RI_SP,,Relações Internacionais,SP,USP,RI,USP
35,30080,FAAP,2315,FAAP-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social,SP,FAAP,COMUNICACAO,FAAP
35,30080,FAAP,1383,FA-FAAP-Comunicação Social,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social,SP,FA-FAAP,COMUNICACAO,FAAP
35,30080,FAAP,922,FA-FAAP-Comunicação Social - Rádio E Televisão,COMUNICAÇÃO,COMUNICAÇÃO_SP,,Comunicação Social - Rádio E Televisão,SP,FA-FAAP,COMUNICACAO,FAAP
35,302890,USP,605,USP-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_SP,,Ciências Sociais,SP,USP,CIENCIAS SOCIAIS,USP
35,31055,MACKENZIE,242,MACKENZIE-Administração,ADMINISTRAÇÃO,ADMINISTRAÇÃO_SP,,Administração,SP,MACKENZIE,ADMINISTRACAO,MACKENZIE
33,310859,PUC-Rio,5808,PUC-RIO-Ciências Sociais,CIÊNCIAS SOCIAIS,CIÊNCIAS SOCIAIS_RJ,,Ciências Sociais,RJ,PUC-RIO,CIENCIAS SOCIAIS,PUCRIO
33,310877,PUC-Rio,5808,PUC-RIO-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,PUC-RIO,MATEMATICA,PUCRIO
53,31128,UNICEUB,4422,UNICEUB-Comunicação Social - Jornalismo,COMUNICAÇÃO,COMUNICAÇÃO_DF,,Comunicação Social - Jornalismo,DF,UNICEUB,COMUNICACAO,UNICEUB
33,311305,UERJ,6017,UERJ-Matemática,MATEMÁTICA,MATEMÁTICA_RJ,,Matemática,RJ,UERJ,MATEMATICA,UERJ
